_RAJ2000	_DEJ2000	RAJ2000	DEJ2000	2MASS	Jmag	e_Jmag	Hmag	e_Hmag	Kmag	e_Kmag	Qflg	Rflg	Bflg	Cflg	Xflg	Aflg
155.94643000	-57.74890500	155.946430	-57.748905	10234714-5744560	15.095	0.056	14.863	0.073	14.219		AAU	226	220	cc0	0	0
155.95679500	-57.71974600	155.956795	-57.719746	10234963-5743110	16.514	0.130	16.285		14.232		BUU	200	100	000	0	0
155.95832100	-57.70417400	155.958321	-57.704174	10234999-5742150	15.998	0.164	15.790	0.199	14.256		CCU	220	110	000	0	0
155.95508900	-57.70869400	155.955089	-57.708694	10234922-5742312	15.060	0.104	14.599	0.110	14.118	0.119	ABB	222	111	000	0	0
155.95624300	-57.70660800	155.956243	-57.706608	10234949-5742237	15.765	0.215	15.484	0.226	13.965		CDU	220	110	000	0	0
155.95305500	-57.73252100	155.953055	-57.732521	10234873-5743570	16.374	0.105	15.878	0.157	15.946		BCU	220	110	000	0	0
155.95414100	-57.72906500	155.954141	-57.729065	10234899-5743446	17.056		15.504	0.108	14.893	0.131	UBB	022	011	000	0	0
155.94679500	-57.74990500	155.946795	-57.749905	10234723-5744596	15.877	0.085	15.287	0.083	14.284		AAU	226	220	cc0	0	0
155.94618200	-57.70620700	155.946182	-57.706207	10234708-5742223	16.400	0.114	15.698	0.142	15.228		BBU	220	110	000	0	0
155.96001500	-57.72976300	155.960015	-57.729763	10235040-5743471	16.882	0.177	15.778	0.140	14.581	0.095	CBA	222	111	cc0	0	0
155.93889800	-57.71354700	155.938898	-57.713547	10234533-5742487	16.126	0.196	15.404	0.224	13.597		CDU	220	110	cc0	0	0
155.93925200	-57.72265200	155.939252	-57.722652	10234542-5743215	13.375		12.643		12.970	0.039	UUA	662	002	00c	0	0
155.93874700	-57.71508000	155.938747	-57.715080	10234529-5742542	14.973	0.092	14.418	0.102	14.202	0.123	AAB	222	111	000	0	0
155.93883100	-57.70924400	155.938831	-57.709244	10234531-5742332	16.094	0.094	15.343	0.140	13.718		ABU	220	110	000	0	0
155.94013100	-57.72353400	155.940131	-57.723534	10234563-5743247	12.930		12.459		12.576	0.061	UUA	662	002	00c	0	0
